rowNum,Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
4202,124711004,5,"St. Philips Avenue, Worcester Park, Surrey, KT4",535000,3,Semi-Detached,https://www.rightmove.co.uk/properties/124711004#/?channel=RES_BUY,"Connor Prince, Worcester Park",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
1540,124715630,1,"Elm Avenue, Ruislip, HA4",725000,3,Semi-Detached,https://www.rightmove.co.uk/properties/124715630#/?channel=RES_BUY,"Coopers, Ruislip",Initial entry,2022-07-06,,2023-10-21,"Pinner, Middlesex"
1541,124715630,2,"Elm Avenue, Ruislip, HA4",700000,3,Semi-Detached,https://www.rightmove.co.uk/properties/124715630#/?channel=RES_BUY,"Coopers, Ruislip",Reduced,2022-08-04,,2023-10-21,"Pinner, Middlesex"
1542,124715630,3,"Elm Avenue, Ruislip, HA4",675000,3,Semi-Detached,https://www.rightmove.co.uk/properties/124715630#/?channel=RES_BUY,"Coopers, Ruislip",Reduced,2022-10-17,,2023-10-21,"Pinner, Middlesex"
1543,124715630,4,"Elm Avenue, Ruislip, HA4",675000,3,Semi-Detached,https://www.rightmove.co.uk/properties/124715630#/?channel=RES_BUY,"Coopers, Ruislip",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
60,125092745,1,"Joel Street, Pinner, HA5",900000,4,Semi-Detached,https://www.rightmove.co.uk/properties/125092745#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2022-07-18,,2023-10-19,"Pinner, Middlesex"
61,125092745,2,"Joel Street, Pinner, HA5",875000,4,Semi-Detached,https://www.rightmove.co.uk/properties/125092745#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-08-23,,2023-10-19,"Pinner, Middlesex"
62,125092745,3,"Joel Street, Pinner, HA5",850000,4,Semi-Detached,https://www.rightmove.co.uk/properties/125092745#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-09-27,,2023-10-19,"Pinner, Middlesex"
63,125092745,4,"Joel Street, Pinner, HA5",785000,4,Semi-Detached,https://www.rightmove.co.uk/properties/125092745#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-12-13,,2023-10-19,"Pinner, Middlesex"
660,125100326,1,"The Avenue, Pinner, HA5",865000,4,Semi-Detached,https://www.rightmove.co.uk/properties/125100326#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2022-07-18,,2023-10-19,"Pinner, Middlesex"
661,125100326,2,"The Avenue, Pinner, HA5",850000,4,Semi-Detached,https://www.rightmove.co.uk/properties/125100326#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2022-10-25,,2023-10-19,"Pinner, Middlesex"
4013,125141855,1,"Park Lane, Carshalton, Surrey. SM5",599950,3,Semi-Detached,https://www.rightmove.co.uk/properties/125141855#/?channel=RES_BUY,"Ushers Estate Agents, Carshalton",Initial entry,2022-07-19,,2023-10-21,"Sutton, Surrey"
4014,125141855,2,"Park Lane, Carshalton, Surrey. SM5",575000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125141855#/?channel=RES_BUY,"Ushers Estate Agents, Carshalton",Reduced,2022-09-30,,2023-10-21,"Sutton, Surrey"
4015,125141855,3,"Park Lane, Carshalton, Surrey. SM5",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/125141855#/?channel=RES_BUY,"Ushers Estate Agents, Carshalton",Reduced,2023-02-16,,2023-10-21,"Sutton, Surrey"
