Property_Unique_Number,Version_Number,Address,Price,Bed_Rooms,Property_Type,Property_Url,Agent_Name,Property_Status,Status_Date,Featured,Run_Date,Location
136697330,2,"Cardinal Avenue, Morden",585000,3,End of Terrace,https://www.rightmove.co.uk/properties/136697330#/?channel=RES_BUY,"Ellisons, Morden",Reduced,2023-07-11,,2023-10-21,"Sutton, Surrey"
136697330,3,"Cardinal Avenue, Morden",585000,3,End of Terrace,https://www.rightmove.co.uk/properties/136697330#/?channel=RES_BUY,"Ellisons, Morden",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
136723685,1,"Fairford Gardens, Worcester Park",650000,4,End of Terrace,https://www.rightmove.co.uk/properties/136723685#/?channel=RES_BUY,"The Personal Agent, Stoneleigh",Initial entry,2023-06-29,,2023-10-21,"Sutton, Surrey"
136723685,2,"Fairford Gardens, Worcester Park",650000,4,End of Terrace,https://www.rightmove.co.uk/properties/136723685#/?channel=RES_BUY,"The Personal Agent, Stoneleigh",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
136726031,1,"Ruislip, Middlesex, HA4",1190000,4,Detached,https://www.rightmove.co.uk/properties/136726031#/?channel=RES_BUY,"Chancellors, Northwood",Initial entry,2023-06-29,,2023-10-21,"Pinner, Middlesex"
136728080,1,"Bishops Avenue, Northwood",1295000,4,Detached,https://www.rightmove.co.uk/properties/136728080#/?channel=RES_BUY,"Robsons, Moor Park",Initial entry,2023-06-29,,2023-10-21,"Pinner, Middlesex"
136728080,2,"Bishops Avenue, Northwood",1295000,4,Detached,https://www.rightmove.co.uk/properties/136728080#/?channel=RES_BUY,"Robsons, Moor Park",UNDER OFFER,2023-10-21,,2023-10-21,"Pinner, Middlesex"
136733723,1,"Wakehams Hill, Pinner Village, HA5",635000,3,Terraced,https://www.rightmove.co.uk/properties/136733723#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-06-29,,2023-10-19,"Pinner, Middlesex"
136733723,2,"Wakehams Hill, Pinner Village, HA5",635000,3,Terraced,https://www.rightmove.co.uk/properties/136733723#/?channel=RES_BUY,"Robsons, Pinner",SOLD STC,2023-10-19,,2023-10-19,"Pinner, Middlesex"
136739414,1,"Royston Park Road, Hatch End",1800000,6,Detached,https://www.rightmove.co.uk/properties/136739414#/?channel=RES_BUY,"David Charles, Pinner",Initial entry,2023-06-29,,2023-10-19,"Pinner, Middlesex"
136739414,2,"Royston Park Road, Hatch End",1699950,6,Detached,https://www.rightmove.co.uk/properties/136739414#/?channel=RES_BUY,"David Charles, Pinner",Reduced,2023-09-26,,2023-10-19,"Pinner, Middlesex"
136739414,3,"Royston Park Road, Hatch End",1635000,6,Detached,https://www.rightmove.co.uk/properties/136739414#/?channel=RES_BUY,"David Charles, Pinner",Reduced,2023-10-17,,2023-10-19,"Pinner, Middlesex"
136743173,1,"Greenway, Pinner, HA5",699950,3,Semi-Detached,https://www.rightmove.co.uk/properties/136743173#/?channel=RES_BUY,"Robsons, Pinner",Initial entry,2023-06-29,,2023-10-19,"Pinner, Middlesex"
136743173,2,"Greenway, Pinner, HA5",669950,3,Semi-Detached,https://www.rightmove.co.uk/properties/136743173#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-08-07,,2023-10-19,"Pinner, Middlesex"
136743173,3,"Greenway, Pinner, HA5",649950,3,Semi-Detached,https://www.rightmove.co.uk/properties/136743173#/?channel=RES_BUY,"Robsons, Pinner",Reduced,2023-10-03,,2023-10-19,"Pinner, Middlesex"
136743173,4,"Greenway, Pinner, HA5",649950,3,Semi-Detached,https://www.rightmove.co.uk/properties/136743173#/?channel=RES_BUY,"Robsons, Pinner",UNDER OFFER,2023-10-19,,2023-10-19,"Pinner, Middlesex"
136743407,1,"The Causeway, Carshalton, SM5",610000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136743407#/?channel=RES_BUY,"Andrews Estate Agents, Sutton",Initial entry,2023-06-29,,2023-10-21,"Sutton, Surrey"
136743407,2,"The Causeway, Carshalton, SM5",610000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136743407#/?channel=RES_BUY,"Andrews Estate Agents, Sutton",SOLD STC,2023-10-21,,2023-10-21,"Sutton, Surrey"
136757039,1,"Central Way, Carshalton Beeches",800000,4,House,https://www.rightmove.co.uk/properties/136757039#/?channel=RES_BUY,"Watson Homes, Carshalton",Initial entry,2023-06-29,,2023-10-21,"Sutton, Surrey"
136757039,2,"Central Way, Carshalton Beeches",750000,4,House,https://www.rightmove.co.uk/properties/136757039#/?channel=RES_BUY,"Watson Homes, Carshalton",Reduced,2023-07-17,,2023-10-21,"Sutton, Surrey"
136757039,3,"Central Way, Carshalton Beeches",750000,4,House,https://www.rightmove.co.uk/properties/136757039#/?channel=RES_BUY,"Watson Homes, Carshalton",UNDER OFFER,2023-10-21,,2023-10-21,"Sutton, Surrey"
136768475,1,"Lichfield Road, Northwood, HA6",875000,4,Semi-Detached,https://www.rightmove.co.uk/properties/136768475#/?channel=RES_BUY,"Rawlinson Gold, Pinner",Initial entry,2023-06-30,,2023-10-19,"Pinner, Middlesex"
136768475,2,"Lichfield Road, Northwood, HA6",875000,4,Semi-Detached,https://www.rightmove.co.uk/properties/136768475#/?channel=RES_BUY,"Rawlinson Gold, Pinner",SOLD STC,2023-10-19,,2023-10-19,"Pinner, Middlesex"
136772450,1,"Evelyn Avenue, Ruislip, Middlesex",900000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136772450#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Initial entry,2023-06-30,,2023-10-21,"Pinner, Middlesex"
136772450,2,"Evelyn Avenue, Ruislip, Middlesex",835000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136772450#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",Reduced,2023-09-21,,2023-10-21,"Pinner, Middlesex"
136772450,3,"Evelyn Avenue, Ruislip, Middlesex",835000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136772450#/?channel=RES_BUY,"Gibbs Gillespie, Ruislip Sales",SOLD STC,2023-10-21,,2023-10-21,"Pinner, Middlesex"
136774115,1,"Chilworth Gardens, Sutton, SM1",550000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136774115#/?channel=RES_BUY,"Burn & Warne, Sutton",Initial entry,2023-06-30,,2023-10-21,"Sutton, Surrey"
136774115,2,"Chilworth Gardens, Sutton, SM1",625000,3,Semi-Detached,https://www.rightmove.co.uk/properties/136774115#/?channel=RES_BUY,"Burn & Warne, Sutton",Reduced,2023-06-30,,2023-10-21,"Sutton, Surrey"
